rev_id,diff
1185160788,"--- prev
+++ curr
@@ -1,50 +1,57 @@
 {{Short description|British judge}}

-{{Use dmy dates|date=September 2019}}

-{{Use British English|date=August 2022}}

+{{Use dmy dates|date=April 2022}}

 {{Infobox officeholder

-| honorific-prefix    = [[The Right Honourable]]

-| honorific-suffix    = 

-| name                = Sir Andrew McFarlane

-| image               = Sir Andrew McFarlane 2018.jpg

-| caption             = McFarlane in 2018

-| office              = [[President of the Family Division]]

-| monarch             = [[Elizabeth II]]<br>[[Charles III]]

-| term_start          = 27 July 2018

-| term_end            = 

-| predecessor         = [[James Munby|Sir James Munby]]

-| successor           = 

-| office1             = [[Lord Justice of Appeal]]

-| term_start1         = 28 July 2011

-| term_end1           = 27 July 2018

-| birth_date          = {{Birth date and age|df=yes|1954|06|20}}

-| alma_mater          = [[Collingwood College, Durham|Collingwood College]], [[Durham University]]

+| name                = Dame Judith Parker

+| honorific-suffix    = {{Post-nominals|country=GBR|DBE|size=100%}}

+| image               = 

+| image_size          = 

+| smallimage          = <!--If this is specified, ""image"" should not be.-->

+| alt                 = 

+| caption             = 

+| order               = 

+| office              = [[High Court judge (England and Wales)|Justice of the High Court]]

+| term_start          = 13 June 2008

+| term_end            = 2 July 2019

+| birth_name          = Judith Mary Frances Parker

+| birth_date          = {{Birth date and age|1950|6|19|df=y}}

+| birth_place         = 

+| death_date          = <!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} -->

+| death_place         = 

+| citizenship         = United Kingdom

+| nationality         = British

+| alma_mater          = [[Somerville College, Oxford]]

 }}

-'''Sir Andrew Ewart McFarlane''' {{post-nominals|country=GBR|size=100%|PC}} (born 20 June 1954)<ref>{{cite web|url=http://www.judiciary.gov.uk/about-the-judiciary/judges-magistrates-and-tribunal-judges/list-of-members-of-the-judiciary/senior-judiciary-list |title=Senior Judiciary |publisher=www.judiciary.gov.uk |url-status=dead |archive-url=https://web.archive.org/web/20180628184318/https://www.judiciary.uk/about-the-judiciary/who-are-the-judiciary/senior-judiciary-list/ |archive-date=28 June 2018 }}</ref> is a British judge. He was a [[Lord Justice of Appeal]] in [[Courts of England and Wales|England and Wales]] from 2011 to 2018, and became [[President of the Family Division]] in July 2018 upon Sir [[James Munby]]’s retirement from that office.

+

+'''Dame Judith Mary Frances Parker''', {{Post-nominals|country=GBR|DBE|size=100%|sep=,}} (born 19 June 1950) is a retired British judge and [[barrister]]. From 2008 to 2019, she was a Justice of the [[High Court of England and Wales]].

 

 ==Early life and education==

-McFarlane was brought up in [[Solihull]], [[West Midlands (county)|West Midlands]], before moving to [[Crosby, Merseyside]].<ref name="":0"">{{Cite web|title=The family justice man: Sir Andrew McFarlane P|url=https://www.counselmagazine.co.uk/articles/the-family-justice-man-sir-andrew-mcfarlane-p|access-date=2021-08-10|website=Counsel Magazine|language=en}}</ref> He was educated at [[Shrewsbury School]] and studied law at [[Collingwood College, Durham]], and graduated in 1975.<ref>{{Cite web|url=http://issuu.com/communicationsoffice/docs/woodwords2010-11?mode=window&backgroundColor=%23222222|title = Wood Words 2010/11}}</ref> He was an early member of Durham University Sensible Thespians (later renamed [[List of social activities at Durham University#Durham Revue|The Durham Revue]]), a sketch comedy group founded in 1973.<ref>{{cite web |title=The Durham Revue Reunion 2018 - Dunelm |url=https://www.dunelm.org.uk/events/durham-revue-reunion-2018 |website=Dunelm |accessdate=3 August 2019}}</ref>

+Judith Parker was born on 19 June 1950.<ref name=Birth>{{cite web|title=Birthday's today|url= https://www.telegraph.co.uk/archive/2013-6-19.html |archive-url= https://web.archive.org/web/20130619231750/http://www.telegraph.co.uk/archive/2013-6-19.html |url-status= dead |archive-date= 19 June 2013 |publisher=The Telegraph|accessdate=19 June 2014|date=19 June 2013|quote=

+Mrs Justice Parker 63 }}</ref> She studied [[Jurisprudence]] at [[Somerville College, Oxford]],<ref name=""Debrett's"">{{cite web|title=Judith Mary Frances PARKER|url=http://www.debretts.com/people-of-today/profile/23324/Judith-Mary-Frances-PARKER|website=People of Today|publisher=Debrett's|accessdate=20 June 2016}}{{dead link|date=December 2017 |bot=InternetArchiveBot |fix-attempted=yes }}</ref> and graduated with a [[Bachelor of Arts]] degree in 1972.<ref name=""Who's Who 2016"">{{cite web|title=PARKER, Hon. Dame Judith Mary Frances|url=http://www.ukwhoswho.com/view/article/oupww/whoswho/U247250|website=Who's Who 2016|publisher=Oxford University Press|accessdate=20 June 2016|date=November 2015}}</ref>

+

+Parker is an Honorary Fellow of Somerville College.<ref>{{cite web|url=https://www.some.ox.ac.uk/about-somerville/emeritus-and-honorary-fellows/|title=Emeritus and Honorary Fellows|access-date=26 August 2018|publisher=[[Somerville College, Oxford]]}}</ref>

 

 ==Legal career==

-McFarlane was [[called to the bar]] at [[Gray's Inn]] in 1977 and has been a [[Bencher]] since 2003. He began his [[pupillage]] in London at chancery chambers before moving to 2 Fountain Court in [[Birmingham]] (now St Philips Chambers). While there, he and David Hershman wrote ''Hershman and McFarlane: Children Law and Practice''. He then moved to 1 King’s Bench Walk in [[Temple, London]] in 1994.<ref name="":0"" /> In 1998, he became a [[Queen's Counsel]].

+In 1973, Parker was [[called to the Bar]] by [[Middle Temple]].<ref name=""Who's Who 2016"" /> She then specialised in [[family law]].<ref name=""Debrett's"" /> On 9 April 1991, she was appointed [[Queen's Counsel]] (QC).<ref name=""LG 12 April 1991"">{{London Gazette |issue=52502 |date=12 April 1991 |page=5717 }}</ref>

 

-He was appointed an Assistant Recorder in 1995, a Recorder in 1999 and a deputy High Court Judge in 2000. He was appointed as a judge of the [[High Court of Justice]] on 18 April 2005<ref>{{London Gazette |issue=57620 |page=5195 |date=21 April 2005}}</ref> and assigned to the [[High Court of Justice#Family Division|Family Division]], receiving the customary [[Knight Bachelor|knighthood]]. McFarlane was the Family Division Liaison Judge for the Midland [[Circuit court#England and Wales|Circuit]] from 2006 until his appointment as a [[Lord Justice of Appeal]]<ref>{{cite press release |url=http://www.number10.gov.uk/news/press-notices/2011/06/appointment-of-lord-justices-of-appeal-65193 |title=Appointment of Lords Justices of Appeal |publisher=number10.gov.uk |date=30 June 2011 |accessdate=30 June 2011| archiveurl= https://web.archive.org/web/20110705070033/http://www.number10.gov.uk/news/press-notices/2011/06/appointment-of-lord-justices-of-appeal-65193 |archivedate=5 July 2011 |url-status = live}}</ref> on 28 July 2011,<ref>{{London Gazette |issue=59867 |page=14721 |date=2 August 2011}}</ref> whereupon he received the customary appointment to the [[Privy Council of the United Kingdom|Privy Council]]. On  28 July 2018, he was appointed [[President of the Family Division]].<ref>{{Cite web|title=Biography of The Rt Hon Sir Andrew McFarlane, President of the Family Division and Chair of the Family Justice Council|url=https://www.judiciary.uk/biography-of-the-rt-hon-sir-andrew-mcfarlane-president-of-the-family-division-and-chair-of-the-family-justice-council/|access-date=2021-08-10|website=www.judiciary.uk|language=en-US}}</ref>

+===Judiciary===

+Between 1998 and 2000, Parker served as an [[Recorder (judge)#Recorders as part-time appointments|assistant recorder]] (i.e. a part-time judge).<ref name=""Debrett's"" /> On 7 March 2000, she was appointed a [[Master of the Bench]] of Middle Temple.<ref name=""bio - Middle Temple"">{{cite web|title=The Hon Mrs Justice Parker|url=https://www.middletemple.org.uk/bencher-persons-view?cid=33930|website=Masters of the Bench|publisher=The Honourable Society of the Middle Temple|accessdate=20 June 2016}}</ref> On 18 July 2000, she was appointed a [[Recorder (judge)|Recorder]], and served as a part-time judge on the [[South Eastern Circuit]].<ref name=""LG 24 July 2000"">{{London Gazette |issue=55921 |date=24 July 2000 |page=0 }}</ref>

 

-He is the President of Tribunals and Chair of the Clergy Discipline Commission of the [[Church of England]] under the Clergy Discipline Measure 2003.<ref>{{cite web|title=Clergy Discipline Commission|url=https://www.churchofengland.org/about-us/structure/churchlawlegis/clergydiscipline/cdc.aspx|accessdate=20 October 2017}}</ref>

+On 13 June 2008, Parker was appointed a [[High Court judge (England and Wales)|Judge]] assigned to the [[Family Division]] of the [[High Court of Justice]].<ref>{{cite web|title=Senior judiciary|url=https://www.judiciary.gov.uk/about-the-judiciary/who-are-the-judiciary/senior-judiciary-list/|website=judiciary.gov.uk|publisher=Courts and Tribunals Judiciary|accessdate=20 June 2016}}</ref> She was appointed [[Dame Commander of the Order of the British Empire]] (DBE) shortly after being appointed.<ref name=""Who's Who 2016"" /> In 2018, during an unknown hearing, she dozed off momentarily, for which she was given official advice.<ref>{{cite web|title=Legal Cheek|url=https://www.legalcheek.com/2019/02/high-court-judge-falls-asleep-on-the-job/|website=Legalcheek.com|date=8 February 2019|accessdate=9 Feb 2019}}</ref> She retired shortly after.

 

 ==References==

-{{Reflist|30em}}

-{{Appeal judges in England & Wales}}

-{{Family Division of England & Wales}}

-{{Authority control}}

+{{reflist|30em}}

 

-{{DEFAULTSORT:Mcfarlane, Andrew}}

-[[Category:1954 births]]

+{{Subject bar| portal1=Biography| portal2=Law| portal3=United Kingdom}}

+

+{{authority control}}

+

+{{DEFAULTSORT:Parker, Judith}}

+[[Category:1950 births]]

 [[Category:Living people]]

-[[Category:People educated at Shrewsbury School]]

-[[Category:Alumni of Collingwood College, Durham]]

+[[Category:Place of birth missing (living people)]]

 [[Category:Family Division judges]]

-[[Category:Knights Bachelor]]

-[[Category:Members of the Privy Council of the United Kingdom]]

-[[Category:Lords Justices of Appeal]]

-[[Category:Presidents of the Family Division]]

-[[Category:People from Solihull]]
+[[Category:Dames Commander of the Order of the British Empire]]

+[[Category:Alumni of Somerville College, Oxford]]

+[[Category:Members of the Middle Temple]]

+[[Category:British King's Counsel]]

+[[Category:Fellows of Somerville College, Oxford]]"
1173834512,"--- prev
+++ curr
@@ -1,4 +1,3 @@
-{{Short description|British judge}}

 {{Use dmy dates|date=April 2022}}

 {{Infobox officeholder

 | name                = Dame Judith Parker
"
1166851230,"--- prev
+++ curr
@@ -1,27 +1,29 @@
 {{Use dmy dates|date=April 2022}}

 {{Infobox officeholder

-| name                = Dame Judith Parker

-| honorific-suffix    = {{Post-nominals|country=GBR|DBE|size=100%}}

-| image               = 

-| image_size          = 

-| smallimage          = <!--If this is specified, ""image"" should not be.-->

-| alt                 = 

-| caption             = 

-| order               = 

-| office              = [[High Court judge (England and Wales)|Justice of the High Court]]

-| term_start          = 13 June 2008

-| term_end            = 2 July 2019

-| birth_name          = Judith Mary Frances Parker

-| birth_date          = {{Birth date and age|1950|6|19|df=y}}

-| birth_place         = 

-| death_date          = <!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} -->

-| death_place         = 

-| citizenship         = United Kingdom

-| nationality         = British

-| alma_mater          = [[Somerville College, Oxford]]

+ | honorific-prefix   = [[The Honourable]]

+ | name               = Mrs Justice Parker

+ | honorific-suffix   = {{Post-nominals|country=GBR|DBE|KC|size=100%}}

+ | image              = 

+ | image_size         = 

+ | smallimage         = <!--If this is specified, ""image"" should not be.-->

+ | alt                = 

+ | caption            = 

+ | order              = 

+ | office             = [[High Court judge (England and Wales)|Justice]] of the [[High Court of England and Wales]]

+ | term_start         = 13 June 2008

+ | term_end           = 2 July 2019

+ | birth_name      = Judith Mary Frances Parker

+ | birth_date      = {{Birth date and age|1950|6|19|df=y}}

+ | birth_place     = 

+ | death_date      =  <!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} -->

+ | death_place     = 

+ | citizenship     = United Kingdom

+ | nationality     = British

+ | alma_mater      = [[Somerville College, Oxford]]

+ | awards          = [[Queen's Counsel]] (1991) <br /> [[Dame Commander of the Order of the British Empire]] (2008)

 }}

 

-'''Dame Judith Mary Frances Parker''', {{Post-nominals|country=GBR|DBE|size=100%|sep=,}} (born 19 June 1950) is a retired British judge and [[barrister]]. From 2008 to 2019, she was a Justice of the [[High Court of England and Wales]].

+'''Dame Judith Mary Frances Parker''', {{Post-nominals|country=GBR|DBE|KC|size=100%|sep=,}} (born 19 June 1950) is a retired British judge and [[barrister]]. From 2008 to 2019, she was a Justice of the [[High Court of England and Wales]].

 

 ==Early life and education==

 Judith Parker was born on 19 June 1950.<ref name=Birth>{{cite web|title=Birthday's today|url= https://www.telegraph.co.uk/archive/2013-6-19.html |archive-url= https://web.archive.org/web/20130619231750/http://www.telegraph.co.uk/archive/2013-6-19.html |url-status= dead |archive-date= 19 June 2013 |publisher=The Telegraph|accessdate=19 June 2014|date=19 June 2013|quote=
"
1166851138,"--- prev
+++ curr
@@ -9,7 +9,7 @@
  | alt                = 

  | caption            = 

  | order              = 

- | office             = [[High Court judge (England and Wales)|Justice]] of the [[High Court of England and Wales]]

+ | office             = [[High Court judge (England and Wales)|Judge]] of the [[High Court of Justice]]

  | term_start         = 13 June 2008

  | term_end           = 2 July 2019

  | birth_name      = Judith Mary Frances Parker
"
1117733288,"--- prev
+++ curr
@@ -9,20 +9,40 @@
  | alt                = 

  | caption            = 

  | order              = 

- | office             = [[High Court judge (England and Wales)|Judge]] of the [[High Court of Justice]]

+ | office             = [[Former High Court judge (England and Wales)|Judge]] of the [[High Court of Justice]]

  | term_start         = 13 June 2008

  | term_end           = 2 July 2019

+<!-- personal -->

  | birth_name      = Judith Mary Frances Parker

  | birth_date      = {{Birth date and age|1950|6|19|df=y}}

  | birth_place     = 

  | death_date      =  <!-- {{Death date and age|YYYY|MM|DD|YYYY|MM|DD}} -->

  | death_place     = 

+ | resting_place   = 

+ | resting_place_coordinates = 

  | citizenship     = United Kingdom

  | nationality     = British

+ | party           = 

+ | otherparty      =  <!--For additional political affiliations-->

+ | height          =  <!-- ""X cm"", ""X m""  or ""X ft Y in"" plus optional reference (conversions are automatic) -->

+ | spouse          = 

+ | partner         =  <!--For those with a domestic partner and not married-->

+ | relations       = 

+ | children        = 

+ | parents         =  <!-- overrides mother and father parameters -->

+ | relatives       = 

+ | residence       = 

+ | education       = 

  | alma_mater      = [[Somerville College, Oxford]]

+ | occupation      = 

+ | profession      = 

+ | known_for       = 

+ | cabinet         = 

+ | committees      = 

+ | portfolio       = 

+ | religion        =  <!-- Do not insert religious denominations in this parameter by themselves; always enter the religion first -->

  | awards          = [[Queen's Counsel]] (1991) <br /> [[Dame Commander of the Order of the British Empire]] (2008)

 }}

-

 '''Dame Judith Mary Frances Parker''', {{Post-nominals|country=GBR|DBE|KC|size=100%|sep=,}} (born 19 June 1950) is a retired British judge and [[barrister]]. From 2008 to 2019, she was a Justice of the [[High Court of England and Wales]].

 

 ==Early life and education==
"
1109874560,"--- prev
+++ curr
@@ -74,5 +74,5 @@
 [[Category:Dames Commander of the Order of the British Empire]]

 [[Category:Alumni of Somerville College, Oxford]]

 [[Category:Members of the Middle Temple]]

-[[Category:British King's Counsel]]

+[[Category:British Queen's Counsel]]

 [[Category:Fellows of Somerville College, Oxford]]"
1083093025,"--- prev
+++ curr
@@ -2,7 +2,7 @@
 {{Infobox officeholder

  | honorific-prefix   = [[The Honourable]]

  | name               = Mrs Justice Parker

- | honorific-suffix   = {{Post-nominals|country=GBR|DBE|KC|size=100%}}

+ | honorific-suffix   = {{Post-nominals|country=GBR|DBE|QC|size=100%}}

  | image              = 

  | image_size         = 

  | smallimage         = <!--If this is specified, ""image"" should not be.-->

@@ -43,7 +43,7 @@
  | religion        =  <!-- Do not insert religious denominations in this parameter by themselves; always enter the religion first -->

  | awards          = [[Queen's Counsel]] (1991) <br /> [[Dame Commander of the Order of the British Empire]] (2008)

 }}

-'''Dame Judith Mary Frances Parker''', {{Post-nominals|country=GBR|DBE|KC|size=100%|sep=,}} (born 19 June 1950) is a retired British judge and [[barrister]]. From 2008 to 2019, she was a Justice of the [[High Court of England and Wales]].

+'''Dame Judith Mary Frances Parker''', {{Post-nominals|country=GBR|DBE|QC|size=100%|sep=,}} (born 19 June 1950) is a retired British judge and [[barrister]]. From 2008 to 2019, she was a Justice of the [[High Court of England and Wales]].

 

 ==Early life and education==

 Judith Parker was born on 19 June 1950.<ref name=Birth>{{cite web|title=Birthday's today|url= https://www.telegraph.co.uk/archive/2013-6-19.html |archive-url= https://web.archive.org/web/20130619231750/http://www.telegraph.co.uk/archive/2013-6-19.html |url-status= dead |archive-date= 19 June 2013 |publisher=The Telegraph|accessdate=19 June 2014|date=19 June 2013|quote=
"
1070857400,"--- prev
+++ curr
@@ -1,4 +1,3 @@
-{{Use dmy dates|date=April 2022}}

 {{Infobox officeholder

  | honorific-prefix   = [[The Honourable]]

  | name               = Mrs Justice Parker
"
1070857149,"--- prev
+++ curr
@@ -42,7 +42,7 @@
  | religion        =  <!-- Do not insert religious denominations in this parameter by themselves; always enter the religion first -->

  | awards          = [[Queen's Counsel]] (1991) <br /> [[Dame Commander of the Order of the British Empire]] (2008)

 }}

-'''Dame Judith Mary Frances Parker''', {{Post-nominals|country=GBR|DBE|QC|size=100%|sep=,}} (born 19 June 1950) is a retired British judge and [[barrister]]. From 2008 to 2019, she was a Justice of the [[High Court of England and Wales]].

+'''Dame Judith Mary Frances Parker''', {{Post-nominals|country=GBR|DBE|QC|size=100%|sep=,}} (born 19 June 1950) was a British judge and [[barrister]]. From 2008 to 2019, she was a Justice of the [[High Court of England and Wales]].

 

 ==Early life and education==

 Judith Parker was born on 19 June 1950.<ref name=Birth>{{cite web|title=Birthday's today|url= https://www.telegraph.co.uk/archive/2013-6-19.html |archive-url= https://web.archive.org/web/20130619231750/http://www.telegraph.co.uk/archive/2013-6-19.html |url-status= dead |archive-date= 19 June 2013 |publisher=The Telegraph|accessdate=19 June 2014|date=19 June 2013|quote=
"
1066222690,"--- prev
+++ curr
@@ -8,9 +8,9 @@
  | alt                = 

  | caption            = 

  | order              = 

- | office             = [[Former High Court judge (England and Wales)|Judge]] of the [[High Court of Justice]]

+ | office             = [[High Court judge (England and Wales)|Judge]] of the [[High Court of Justice]]

  | term_start         = 13 June 2008

- | term_end           = 2 July 2019

+ | term_end           = 

 <!-- personal -->

  | birth_name      = Judith Mary Frances Parker

  | birth_date      = {{Birth date and age|1950|6|19|df=y}}

@@ -42,7 +42,7 @@
  | religion        =  <!-- Do not insert religious denominations in this parameter by themselves; always enter the religion first -->

  | awards          = [[Queen's Counsel]] (1991) <br /> [[Dame Commander of the Order of the British Empire]] (2008)

 }}

-'''Dame Judith Mary Frances Parker''', {{Post-nominals|country=GBR|DBE|QC|size=100%|sep=,}} (born 19 June 1950) was a British judge and [[barrister]]. From 2008 to 2019, she was a Justice of the [[High Court of England and Wales]].

+'''Dame Judith Mary Frances Parker''', {{Post-nominals|country=GBR|DBE|QC|size=100%|sep=,}} (born 19 June 1950) is a British judge and [[barrister]]. Since 2008, she has been a Justice of the [[High Court of England and Wales]].

 

 ==Early life and education==

 Judith Parker was born on 19 June 1950.<ref name=Birth>{{cite web|title=Birthday's today|url= https://www.telegraph.co.uk/archive/2013-6-19.html |archive-url= https://web.archive.org/web/20130619231750/http://www.telegraph.co.uk/archive/2013-6-19.html |url-status= dead |archive-date= 19 June 2013 |publisher=The Telegraph|accessdate=19 June 2014|date=19 June 2013|quote=
"
